company_name,hr_email,hr_name,job_role,apply_link
Mphasis,careers@mphasis.com,Hiring Team,Software Developer,https://www.mphasis.com/careers
Hexaware,careers@hexaware.com,Hiring Team,Software Engineer,https://www.hexaware.com/careers
Persistent Systems,careers@persistent.com,Hiring Team,Python Developer,https://www.persistent.com/careers
Coforge,careers@coforge.com,Hiring Team,Software Engineer,https://www.coforge.com/careers
Birlasoft,careers@birlasoft.com,Hiring Team,Python Developer,https://www.birlasoft.com/careers
KPIT,careers@kpit.com,Hiring Team,Software Engineer,https://www.kpit.com/careers
Zensar Technologies,careers@zensar.com,Hiring Team,Python Developer,https://www.zensar.com/careers
DXC Technology,careers@dxc.com,Hiring Team,Software Engineer,https://www.dxc.com/careers
CGI,ashok.s@cgi.com,Ashok,Python AI Developer,https://www.cgi.com/en/careers
IBM,careers@ibm.com,Hiring Team,Application Developer,https://www.ibm.com/careers
Deloitte,careers@deloitte.com,Hiring Team,Business Technology Analyst,https://www.deloitte.com/careers
PwC India,careers@pwc.com,Hiring Team,Python Associate,https://www.pwc.com/careers
EY,careers@ey.com,Hiring Team,Technology Consultant,https://www.ey.com/careers
KPMG,careers@kpmg.com,Hiring Team,Python Developer Executive,https://www.kpmg.com/careers
Cisco,careers@cisco.com,Hiring Team,Software Engineer,https://www.cisco.com/careers
Dell Technologies,careers@dell.com,Hiring Team,Software Engineer,https://www.dell.com/careers
HP,careers@hp.com,Hiring Team,Software Engineer,https://www.hp.com/careers
Lenovo,careers@lenovo.com,Hiring Team,Associate Software Engineer AI,https://www.lenovo.com/careers
Nokia,careers@nokia.com,Hiring Team,Software Engineer,https://www.nokia.com/careers
HARMAN,careers@harman.com,Hiring Team,Associate Engineer AI/ML,https://www.harman.com/careers
YASH Technologies,careers@yash.com,Hiring Team,Trainee Python,https://www.yash.com/careers
NTT DATA,global.careers@nttdata.com,Hiring Team,Python Developer,https://www.nttdata.com/careers
Oracle,careers@oracle.com,Hiring Team,Software Engineer,https://www.oracle.com/careers
SAP Labs,careers@sap.com,Hiring Team,Software Developer,https://www.sap.com/careers
VMware,careers@vmware.com,Hiring Team,Software Engineer,https://www.vmware.com/careers
Microsoft,careers@microsoft.com,Hiring Team,Software Engineer,https://www.microsoft.com/careers
Amazon,careers@amazon.com,Hiring Team,Software Engineer,https://www.amazon.com/careers
Google,careers@google.com,Hiring Team,Software Engineer,https://www.google.com/careers
Qualcomm,careers@qualcomm.com,Hiring Team,Software Engineer,https://www.qualcomm.com/careers
Samsung,careers@samsung.com,Hiring Team,Software Engineer,https://www.samsung.com/careers
Intel,careers@intel.com,Hiring Team,Software Engineer,https://www.intel.com/careers
NVIDIA,careers@nvidia.com,Hiring Team,Software Engineer,https://www.nvidia.com/careers
Adobe,careers@adobe.com,Hiring Team,Software Engineer,https://www.adobe.com/careers
Publicis Sapient,careers@publicissapient.com,Hiring Team,Python Developer,https://www.publicissapient.com/careers
L&T Technology Services,careers@lnttechservices.com,Hiring Team,Software Engineer,https://www.lnttechservices.com/careers
Virtusa,careers@virtusa.com,Hiring Team,Python Developer,https://www.virtusa.com/careers
Atos,careers@atos.net,Hiring Team,Software Engineer,https://www.atos.net/careers
Sopra Steria,careers@soprasteria.com,Hiring Team,Software Developer,https://www.soprasteria.com/careers
Cyient,careers@cyient.com,Hiring Team,Software Engineer,https://www.cyient.com/careers
Happiest Minds,careers@happiestminds.com,Hiring Team,Software Engineer,https://www.happiestminds.com/careers
Synechron,careers@synechron.com,Hiring Team,Software Engineer,https://www.synechron.com/careers
UST Global,careers@ust.com,Hiring Team,Python Developer,https://www.ust.com/careers
Concentrix,careers@concentrix.com,Hiring Team,Python Developer,https://www.concentrix.com/careers
Thoughtworks,careers@thoughtworks.com,Hiring Team,SDE Fresher,https://www.thoughtworks.com/careers
Citi,careers@citi.com,Hiring Team,Junior Python Developer,https://www.citi.com/careers
Optum,careers@optum.com,Hiring Team,Software Engineer,https://www.optum.com/careers
NatWest Group,careers@natwest.com,Hiring Team,Software Engineer,https://www.natwestgroup.com/careers
Macquarie Group,careers@macquarie.com,Hiring Team,Python Engineer,https://www.macquarie.com/careers
Tower Research Capital,careers@tower-research.com,Hiring Team,Python Developer,https://www.tower-research.com/careers
Goldman Sachs,careers@gs.com,Hiring Team,Software Engineer,https://www.goldmansachs.com/careers
JPMorgan Chase,careers@jpmorgan.com,Hiring Team,Software Engineer,https://www.jpmorgan.com/careers
Morgan Stanley,careers@morganstanley.com,Hiring Team,Software Developer,https://www.morganstanley.com/careers
Zomato,careers@zomato.com,Hiring Team,SDE-1,https://www.zomato.com/careers
Swiggy,careers@swiggy.com,Hiring Team,SDE-1,https://www.swiggy.com/careers
Flipkart,careers@flipkart.com,Hiring Team,SDE-1,https://www.flipkart.com/careers
Razorpay,careers@razorpay.com,Hiring Team,Software Engineer,https://razorpay.com/careers
Groww,careers@groww.in,Hiring Team,Software Engineer,https://groww.in/careers
Zerodha,careers@zerodha.com,Hiring Team,Software Engineer,https://zerodha.com/careers
Nykaa,careers@nykaa.com,Hiring Team,Software Engineer,https://www.nykaa.com/careers
MakeMyTrip,careers@makemytrip.com,Hiring Team,SDE,https://www.makemytrip.com/careers
OYO,careers@oyorooms.com,Hiring Team,SDE,https://www.oyorooms.com/careers
Urban Company,careers@urbancompany.com,Hiring Team,SDE,https://www.urbancompany.com/careers
ShareChat,careers@sharechat.com,Hiring Team,SDE,https://sharechat.com/careers
PolicyBazaar,careers@policybazaar.com,Hiring Team,SDE,https://www.policybazaar.com/careers
PhonePe,careers@phonepe.com,Hiring Team,Software Engineer,https://www.phonepe.com/careers
CRED,careers@cred.club,Hiring Team,SDE,https://cred.club/careers
Zeta,careers@zeta.us,Hiring Team,Software Engineer,https://www.zeta.us/careers
Freshworks,careers@freshworks.com,Hiring Team,Software Engineer,https://www.freshworks.com/careers
Chargebee,careers@chargebee.com,Hiring Team,Software Engineer,https://www.chargebee.com/careers
Zoho,careers@zoho.com,Hiring Team,Software Developer,https://www.zoho.com/careers
Unacademy,careers@unacademy.com,Hiring Team,SDE,https://www.unacademy.com/careers
Navi,careers@navi.com,Hiring Team,Software Engineer,https://navi.com/careers
BharatPe,careers@bharatpe.com,Hiring Team,SDE,https://bharatpe.com/careers
Lendingkart,careers@lendingkart.com,Hiring Team,Software Engineer,https://www.lendingkart.com/careers
TrainingMug,careers@trainingmug.com,Hiring Team,Python Django Backend Engineer,https://consumers.internshala.com/job/detail/fresher-remote-python-backend-engineer-django-job-at-trainingmug1777708916
Plexmato,hr@redkaizen.in,Hiring Team,Python Developer,https://consumers.internshala.com/job/detail/fresher-remote-python-developer-job-at-plexmato1781088143
Avishaan Technologies,hello@avishaantechnologies.com,Hiring Team,Python Developer,https://consumers.internshala.com/job/detail/fresher-python-developer-job-in-gurgaon-at-avishaan-technologies1780106447
GlobalLogic,careers@globallogic.com,Hiring Team,Python Developer,https://www.globallogic.com/careers
EXL,careers@exlservice.com,Hiring Team,GenAI Python Developer,https://www.exlservice.com/careers
Destiny HR Group,career@destinyhrgroup.com,Hiring Team,Python Django Developer,https://www.destinyhrgroup.com/careers
BOL7,hr@bol7.com,Hiring Team,Python Developer,https://bol7.com/careers
Techoaks IT,info@techoaks.in,Hiring Team,Python Full Stack Developer,https://www.hirist.tech/j/python-full-stack-developer-1614879
Startupcoe,team@startupcoe.com,Hiring Team,Python Developer,https://startupcoe.com/careers
Lifease Solutions,admin@lifeasesolutions.com,Hiring Team,Python Developer Intern,https://lifeasesolutions.com/careers
Cyntexa,careers@cyntexa.com,Hiring Team,Associate Software Developer,https://www.cyntexa.com/careers
Accuris,careers@accuris.com,Hiring Team,Associate Software Engineer,https://www.accuris.com/careers
Bombay Shaving Company,careers@bombayshavingcompany.com,Hiring Team,Python Developer,https://www.bombayshavingcompany.com/careers
Infrrd,careers@infrrd.com,Hiring Team,Python Developer GenAI,https://www.infrrd.com/careers
Impressico,training@impressico.com,Hiring Team,Trainee Engineer Python,https://www.impressico.com/careers
NeoGenCode Technologies,careers@neogencode.com,Hiring Team,Python Django Developer,https://neogencode.com/careers
CollabMates,careers@collabmates.com,Hiring Team,Python Django Backend Developer,https://cutshort.io/job/Python-Django-Backend-Developer-NCR-Delhi-Gurgaon-Noida-CollabMates-7f9oUeXi
Heizen,hiring@heizen.work,Hiring Team,Associate Software Engineer,https://heizen.work/careers
Swan Softweb,career@swansoftweb.com,Hiring Team,Python Developer,https://swansoftweb.com/careers
Aaptatt,office@aaptatt.com,Hiring Team,Python Developer,https://consumers.internshala.com/job/detail/fresher-python-developer-job-in-gurgaon-at-aaptatt1777602544
Associative,info@associative.in,Hiring Team,Python Developer Fresher,https://associative.in/careers
E2logy,careers@e2logy.com,Hiring Team,Python Developer,https://e2logy.com/careers
Addnectar Solutions,careers@addnectar.com,Hiring Team,Junior Software Developer,https://consumers.internshala.com/job/detail/fresher-junior-software-developer-job-in-mumbai-at-addnectar-solutions-private-limited1778591928
ECI,careers@eci.com,Hiring Team,Python Developer,https://www.ecisolutions.com/careers
Rockwell Automation,careers@rockwellautomation.com,Hiring Team,Graduate Engineer Trainee,https://www.rockwellautomation.com/careers
Honeywell,careers@honeywell.com,Hiring Team,Software Engineer,https://www.honeywell.com/careers
Honeywell,careers@honeywell.com,Hiring Team,Software Intern Python,https://www.honeywell.com/careers
Siemens,careers@siemens.com,Hiring Team,Software Engineer,https://www.siemens.com/careers
Schneider Electric,careers@se.com,Hiring Team,Software Engineer,https://www.se.com/careers
ABB,careers@abb.com,Hiring Team,Software Engineer,https://www.abb.com/careers
Baker Hughes,careers@bakerhughes.com,Hiring Team,Software Engineer,https://www.bakerhughes.com/careers
GE Healthcare,careers@gehealthcare.com,Hiring Team,Software Engineer,https://www.gehealthcare.com/careers
Philips,careers@philips.com,Hiring Team,Software Developer,https://www.philips.com/careers
Bosch,careers@bosch.com,Hiring Team,Software Engineer,https://www.bosch.com/careers
Continental,careers@continental.com,Hiring Team,Software Engineer,https://www.continental.com/careers
TravClan,careers@travclan.com,Hiring Team,SDE-1 Backend,https://www.travclan.com/careers
Finominal,careers@finominal.com,Hiring Team,Junior Backend Engineer,https://www.finominal.com/careers
Postman,careers@postman.com,Hiring Team,Software Engineer,https://www.postman.com/careers
Red Hat,careers@redhat.com,Hiring Team,Software Engineer,https://www.redhat.com/careers
MongoDB,careers@mongodb.com,Hiring Team,Software Engineer,https://www.mongodb.com/careers
Elastic,careers@elastic.co,Hiring Team,Software Engineer,https://www.elastic.co/careers
Twilio,careers@twilio.com,Hiring Team,Software Engineer,https://www.twilio.com/careers
Snowflake,careers@snowflake.com,Hiring Team,Software Engineer,https://www.snowflake.com/careers
Databricks,careers@databricks.com,Hiring Team,Software Engineer,https://www.databricks.com/careers
