company_name,hr_email,hr_name,job_role,apply_link
Infosys,Infy_REC_Helpdesk@infosys.com,Infosys Recruitment,Specialist Programmer US,https://careers.infosys.com
TCS,careers.research@tcs.com,TCS Research Recruitment,System Engineer US,https://www.tcs.com/careers
Cognizant,careers@cognizant.com,Cognizant TA Team,Programmer Analyst US,https://careers.cognizant.com/us-en
Wipro,helpdesk.recruitment@wipro.com,Wipro Recruitment,Project Engineer US,https://careers.wipro.com
HCL Tech,careers@hcltech.com,HCL Careers,Software Engineer US,https://www.hcltech.com/careers
Tech Mahindra,careers@techmahindra.com,TechM Recruitment,Software Engineer US,https://careers.techmahindra.com
Accenture,careers@accenture.com,Accenture Careers,App Dev Associate US,https://www.accenture.com/us-en/careers
Deloitte,careers@deloitte.com,Deloitte TA,Business Tech Analyst US,https://www.deloitte.com/careers
IBM,careers@ibm.com,IBM Careers,Entry Level Developer US,https://www.ibm.com/careers
CGI,careers@cgi.com,CGI Recruitment,Python Developer US,https://www.cgi.com/en/careers
BeaconFire Inc.,info@beaconfireinc.com,BeaconFire HR,Agentic AI Developer Python,https://beaconfireinc.com/careers
Nexa IT Resources,dsara@nexaitresources.com,Sara Das,Python Developer Federal,https://nexaitresources.com
SynergisticIT,careers@synergisticit.com,SynergisticIT Team,Python Developer US,https://www.synergisticit.com
Cybotrix Technologies,contact@cybotrix.com,Cybotrix Recruitment,Python Developer Seattle,https://cybotrix.com
ICF,careers@icf.com,ICF TA,Associate Software Engineer US,https://www.icf.com/careers
Aivra Health LLC,careers@aivrahealth.com,Aivra Health HR,Junior Python Developer US,https://www.dice.com
Tech Consulting,careers@techconsulting.com,Tech Consulting TA,Junior AI/ML Python Developer Atlanta,https://jaabz.com
Veracity Software Inc,careers@veracityinc.com,Veracity HR,Python Developer NJ,https://www.optnation.com
CodeVista Solutions,careers@codevista.com,CodeVista HR,Junior Python Developer Remote US,https://jaabz.com
Google,apply@google.com,Google Careers,Software Engineer US,https://careers.google.com
Amazon,hiring@amazon.com,Amazon University Hire,SDE US,https://amazon.jobs
Microsoft,careers@microsoft.com,Microsoft Careers,Software Engineer US,https://careers.microsoft.com
Meta,careers@meta.com,Meta Careers,Software Engineer US,https://www.metacareers.com
Apple,careers@apple.com,Apple Careers,Software Engineer US,https://apple.com/careers
NVIDIA,careers@nvidia.com,NVIDIA Careers,Software Engineer US,https://nvidia.com/careers
JPMorgan Chase,careers@jpmorgan.com,JPMC Recruitment,Software Engineer US,https://careers.jpmorgan.com
Goldman Sachs,careers@gs.com,Goldman Sachs Careers,Software Engineer US,https://www.goldmansachs.com/careers
Morgan Stanley,careers@morganstanley.com,MS Careers,Software Engineer US,https://www.morganstanley.com/careers
Capital One,careers@capitalone.com,Capital One Recruitment,Software Engineer US,https://www.capitalone.com/careers
Cisco,careers@cisco.com,Cisco Careers,Software Engineer US,https://www.cisco.com/careers
Oracle,careers@oracle.com,Oracle Careers,Software Engineer US,https://www.oracle.com/careers
Salesforce,careers@salesforce.com,SFDC Careers,Software Engineer US,https://www.salesforce.com/company/careers
Adobe,careers@adobe.com,Adobe Careers,Software Engineer US,https://www.adobe.com/careers
Uber,careers@uber.com,Uber Careers,Software Engineer US,https://www.uber.com/careers
LinkedIn,careers@linkedin.com,LinkedIn Careers,Software Engineer US,https://careers.linkedin.com
PayPal,careers@paypal.com,PayPal Careers,Software Engineer US,https://www.paypal.com/careers
Atlassian,careers@atlassian.com,Atlassian Careers,Software Engineer US,https://www.atlassian.com/company/careers
HubSpot,careers@hubspot.com,HubSpot Careers,Software Engineer US,https://www.hubspot.com/careers
Cloudflare,careers@cloudflare.com,Cloudflare Careers,Software Engineer US,https://www.cloudflare.com/careers
Workday,careers@workday.com,Workday Careers,Software Engineer US,https://www.workday.com/careers
ServiceNow,careers@servicenow.com,ServiceNow Careers,Software Engineer US,https://www.servicenow.com/careers
Snowflake,careers@snowflake.com,Snowflake Careers,Software Engineer US,https://www.snowflake.com/careers
Datadog,careers@datadoghq.com,Datadog Careers,Software Engineer US,https://www.datadoghq.com/careers
Twilio,careers@twilio.com,Twilio Careers,Software Engineer US,https://www.twilio.com/careers
Stripe,careers@stripe.com,Stripe Careers,Software Engineer US,https://stripe.com/jobs
Shopify,careers@shopify.com,Shopify Careers,Software Engineer US,https://www.shopify.com/careers
Spotify,careers@spotify.com,Spotify Careers,Software Engineer US,https://www.lifeatspotify.com
Dell,careers@dell.com,Dell Careers,Software Engineer US,https://www.dell.com/careers
HP,careers@hp.com,HP Careers,Software Engineer US,https://www.hp.com/careers
Intel,careers@intel.com,Intel Careers,Software Engineer US,https://www.intel.com/careers
Qualcomm,careers@qualcomm.com,Qualcomm Careers,Software Engineer US,https://www.qualcomm.com/careers
SAP,careers@sap.com,SAP Careers,Software Engineer US,https://www.sap.com/careers
Visa,careers@visa.com,Visa Careers,Software Engineer US,https://www.visa.com/careers
Mastercard,careers@mastercard.com,Mastercard Careers,Software Engineer US,https://www.mastercard.com/careers
American Express,careers@americanexpress.com,Amex Careers,Software Engineer US,https://www.americanexpress.com/careers
Fidelity,careers@fidelity.com,Fidelity Careers,Software Engineer US,https://www.fidelity.com/careers
UnitedHealth Group,careers@uhg.com,UHG Careers,Software Engineer US,https://www.uhg.com/careers
