company_name,hr_email,hr_name,job_role,apply_link
TrainingMug,careers@trainingmug.com,Hiring Team,Python Django Developer,https://internshala.com/internship/detail/python-django-development-work-from-home-job-internship-at-training-mug1728388289
Plexmato,hr@redkaizen.in,Hiring Team,Python Developer,https://www.linkedin.com/jobs/view/4123456789
Avishaan Technologies,hello@avishaantechnologies.com,Hiring Team,Python Developer,https://www.linkedin.com/jobs/view/4123456790
GlobalLogic,careers@globallogic.com,Hiring Team,Python Developer,https://www.globallogic.com/careers
CGI,ashok.s@cgi.com,Ashok,Python AI Developer,https://www.cgi.com/en/careers
EXL,careers@exlservice.com,Hiring Team,Python GenAI Developer,https://www.exlservice.com/careers
Birlasoft,careers@birlasoft.com,Hiring Team,Application Developer Python,https://www.birlasoft.com/careers
Destiny HR Group,career@destinyhrgroup.com,Hiring Team,Python Developer,https://destinyhrgroup.com/careers
BOL7,hr@bol7.com,Hiring Team,Python Developer,https://bol7.com/careers
Techoaks IT,info@techoaks.in,Hiring Team,Python Developer,https://techoaks.in/careers
Startupcoe,team@startupcoe.com,Hiring Team,Python Developer,https://startupcoe.com/careers
Lifease Solutions,admin@lifeasesolutions.com,Hiring Team,Python Developer Intern,https://lifeasesolutions.com/careers
Cyntexa,careers@cyntexa.com,Hiring Team,Associate Software Developer,https://www.cyntexa.com/careers
Accuris,careers@accuris.com,Hiring Team,Associate Software Engineer,https://www.accuris.com/careers
Concentrix,careers@concentrix.com,Hiring Team,Python Developer,https://www.concentrix.com/careers
Cisco,careers@cisco.com,Hiring Team,Software Engineer Cloud DevOps,https://www.cisco.com/careers
HARMAN,careers@harman.com,Hiring Team,Associate Engineer AI ML Python,https://www.harman.com/careers
YASH Technologies,careers@yash.com,Hiring Team,Trainee Python Developer,https://www.yash.com/careers
KPMG,careers@kpmg.com,Hiring Team,Executive Python Developer,https://www.kpmg.com/careers
Infosys,ilp.support@infosys.com,Hiring Team,Specialist Programmer,https://www.infosys.com/careers
Cognizant,careers@cognizant.com,Hiring Team,Programmer Analyst Trainee,https://www.cognizant.com/careers
Wipro,helpdesk.recruitment@wipro.com,Hiring Team,Project Engineer,https://www.wipro.com/careers
EPAM,careers@epam.com,Hiring Team,Junior Software Engineer,https://www.epam.com/careers
NTT DATA,global.careers@nttdata.com,Hiring Team,Python Developer,https://www.nttdata.com/careers
Deloitte,namojain@deloitte.com,Namo Jain,Business Technology Analyst,https://www.deloitte.com/careers
IBM,neha.nandgaye2@ibm.com,Neha Nandgaye,Application Developer,https://www.ibm.com/careers
TCS,recruitment.entrylevel@tcs.com,Hiring Team,Systems Engineer,https://www.tcs.com/careers
Cognizant,recruitment@cognizant.com,Hiring Team,Junior Data Analyst,https://www.cognizant.com/careers
Electrifex,career@electrifex.com,Hiring Team,Python Developer,https://www.electrifex.com/careers
Impressico,training@impressico.com,Hiring Team,Trainee Engineer Python,https://www.impressico.com/careers
